threads,records,total sec,mean millis,ops/sec,p0.1 millis,p0.5 millis,p0.75 millis,p0.99 millis,p0.999 millis,p0.9999 millis
1,1000000,3,0.002,333333.333,0.001,0.002,0.002,0.011,0.037,0.098
5,1000000,3,0.012,333333.333,0.004,0.007,0.012,0.053,0.131,0.475
10,1000000,2,0.009,500000.000,0.004,0.006,0.008,0.030,0.070,0.139
15,1000000,2,0.024,500000.000,0.011,0.018,0.022,0.074,0.311,1.049
20,1000000,2,0.025,500000.000,0.011,0.019,0.025,0.119,0.360,0.688
25,1000000,2,0.020,500000.000,0.006,0.013,0.021,0.057,0.172,0.377
30,1000000,2,0.024,500000.000,0.009,0.017,0.022,0.078,0.311,1.016
50,1000000,2,0.022,500000.000,0.010,0.019,0.025,0.059,0.172,0.328
100,1000000,2,0.021,500000.000,0.009,0.018,0.025,0.070,0.254,0.721
150,1000000,2,0.023,500000.000,0.009,0.019,0.025,0.063,0.164,0.328
200,1000000,2,0.021,500000.000,0.007,0.018,0.025,0.070,0.205,0.557
