threads,records,total sec,mean millis,ops/sec,p0.1 millis,p0.5 millis,p0.75 millis,p0.99 millis,p0.999 millis,p0.9999 millis
1,1000000,71,0.055,14084.507,0.041,0.043,0.047,0.162,0.219,0.408
5,1000000,28,0.070,35714.286,0.047,0.059,0.076,0.170,0.276,1.440
10,1000000,33,0.163,30303.030,0.068,0.137,0.219,0.473,0.653,2.488
15,1000000,33,0.246,30303.030,0.068,0.244,0.358,0.752,1.047,9.959
20,1000000,33,0.330,30303.030,0.068,0.375,0.522,0.850,1.178,12.057
25,1000000,33,0.422,30303.030,0.072,0.506,0.686,1.178,1.571,15.202
30,1000000,34,0.517,29411.765,0.072,0.653,0.850,1.309,1.833,27.261
50,1000000,35,0.910,28571.429,0.072,1.243,1.571,2.226,3.537,50.330
100,1000000,36,1.912,27777.778,0.072,2.882,3.275,4.061,15.202,56.621
150,1000000,37,3.094,27027.027,0.076,4.979,5.241,6.289,20.969,150.993
200,1000000,39,4.461,25641.026,0.080,7.076,7.338,8.911,20.969,218.102
