threads,records,total sec,mean millis,ops/sec,p0.5 millis,p0.75 millis,p0.99 millis,p0.999 millis,p0.9999 millis
1,5000000,69,0.013,72463.768,0.011,0.013,0.037,0.074,0.139
5,5000000,28,0.024,178571.429,0.019,0.025,0.049,0.086,0.164
10,5000000,38,0.067,131578.947,0.055,0.077,0.155,0.212,41.943
15,5000000,51,0.137,98039.216,0.118,0.163,0.360,0.491,46.137
20,5000000,62,0.228,80645.161,0.196,0.294,0.688,0.983,44.040
25,5000000,65,0.298,76923.077,0.253,0.376,0.917,1.376,50.331
30,5000000,65,0.288,76923.077,0.221,0.360,1.015,1.703,52.428
50,4999950,73,0.662,68492.466,0.294,0.622,5.767,23.068,65.011
100,5000000,79,1.361,63291.139,0.409,1.048,13.631,48.234,79.691
150,5000000,81,2.192,61728.395,0.442,1.245,24.117,52.428,75.497
200,5000000,94,3.540,53191.489,0.458,1.376,39.845,71.303,96.468
