threads,records,total sec,mean millis,ops/sec,p0.5 millis,p0.75 millis,p0.99 millis,p0.999 millis,p0.9999 millis
1,5000000,269,0.051,18587.361,0.042,0.042,0.146,0.196,0.253
5,5000000,99,0.092,50505.051,0.057,0.100,0.276,0.391,1.309
10,5000000,84,0.157,59523.810,0.104,0.178,0.621,0.883,2.226
15,5000000,79,0.221,63291.139,0.129,0.276,0.948,1.374,3.013
20,5000000,79,0.295,63291.139,0.170,0.375,1.374,2.030,19.921
25,5000000,77,0.358,64935.065,0.203,0.473,1.767,2.619,7.076
30,5000000,77,0.431,64935.065,0.236,0.588,2.226,3.275,26.212
50,5000000,77,0.728,64935.065,0.375,0.981,3.799,5.765,75.495
100,5000000,77,1.447,64935.065,0.719,1.964,8.911,14.678,79.690
150,5000000,78,2.185,64102.564,0.948,2.882,13.629,23.067,100.661
200,5000000,92,3.491,54347.826,1.178,4.061,25.164,56.621,142.604
